time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
364989443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
364992427.0,2984.0,0.0,0.05,0.02,-0.03,0
364999443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365002427.0,2984.0,0.0,0.01,0.01,0.01,0
365009443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365012427.0,2984.0,0.0,0.01,-0.02,-0.03,0
365020443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365023427.0,2984.0,0.0,0.01,-0.02,0.01,0
365029443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365032427.0,2984.0,0.0,0.01,0.02,0.01,0
365039443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365042427.0,2984.0,0.0,-0.03,0.02,0.05,0
365049443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365052427.0,2984.0,0.0,0.01,0.02,0.01,0
365060443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365063427.0,2984.0,0.0,0.01,0.02,0.01,0
365069443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365072427.0,2984.0,0.0,0.01,0.01,-0.03,0
365079443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365082427.0,2984.0,0.0,0.01,0.01,0.01,0
365089443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365092427.0,2984.0,0.0,-0.03,-0.03,0.01,0
365100443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365103427.0,2984.0,0.0,-0.03,0.01,0.01,0
365109443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365112427.0,2984.0,0.0,0.01,0.01,0.01,0
365119443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365122427.0,2984.0,0.0,0.01,0.01,0.01,0
365129443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365132427.0,2984.0,0.0,-0.03,-0.03,0.01,0
365140443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365143427.0,2984.0,0.0,0.01,0.01,0.01,0
365149443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365152427.0,2984.0,0.0,0.01,0.01,-0.03,0
365160443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365164427.0,3984.0,0.0,0.01,-0.03,0.01,0
365170443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365173427.0,2984.0,0.0,0.01,0.01,0.01,0
365179443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365182427.0,2984.0,0.0,0.01,0.01,-0.03,0
365189443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365192427.0,2984.0,0.0,0.01,0.01,0.01,0
365199443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365203427.0,3984.0,0.0,-0.03,0.01,0.01,0
365209443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365212427.0,2984.0,0.0,0.01,0.01,-0.03,0
365219443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365222427.0,2984.0,0.0,0.01,0.01,0.05,0
365229443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365232427.0,2984.0,0.0,0.01,0.01,0.01,0
365239443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365243427.0,3984.0,0.0,0.05,0.01,-0.03,0
365249443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365252427.0,2984.0,0.0,0.01,0.05,-0.03,0
365259443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365262427.0,2984.0,0.0,-0.03,-0.07,0.05,0
365269443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365272427.0,2984.0,0.0,-0.11,-0.18,0.13,0
365279443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365283427.0,3984.0,0.0,0.05,0.05,-0.07,0
365289443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365292427.0,2984.0,0.0,0.09,0.09,-0.18,0
365299443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365302427.0,2984.0,0.0,-0.11,-0.19,0.2,0
365309443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
